Frequency,Amplitude,Phase
1.662516e-02,2.007049e+01,1.421403e+00
1.668742e-02,3.895150e+00,1.586395e+00
1.674969e-02,2.180287e+01,1.938939e+00
1.681196e-02,2.160627e+01,1.442618e+00
1.687422e-02,1.060427e+01,-4.29E-01
1.693649e-02,1.178981e+01,2.677398e+00
1.699875e-02,1.552394e+01,1.785569e+00
1.706102e-02,1.570079e+01,1.002500e+00
1.712329e-02,2.659550e+01,6.602374e-02
1.718555e-02,1.992133e+01,1.847536e+00
1.724782e-02,1.623623e+01,-7.82E-01
1.731009e-02,1.651518e+01,1.696694e+00
1.737235e-02,1.756124e+01,-1.59E+00
1.743462e-02,9.326004e+00,1.961487e+00
1.749689e-02,1.730288e+01,2.936824e+00
1.755915e-02,1.475526e+01,-2.78E+00
1.762142e-02,1.599944e+01,8.942542e-01
1.768369e-02,2.317381e+01,1.504436e+00
1.774595e-02,2.496751e+01,2.963778e+00
1.780822e-02,1.077958e+01,-3.69E-01
1.787049e-02,1.305316e+01,-2.67E+00
1.793275e-02,2.896252e+01,6.842621e-01
1.799502e-02,2.556450e+01,3.139550e+00
1.805729e-02,1.889540e+01,1.596981e+00
1.811955e-02,3.251840e+01,7.057100e-01
1.818182e-02,1.131641e+01,4.146983e-01
1.824408e-02,2.743077e+01,1.761978e+00
1.830635e-02,2.921933e+01,9.007198e-01
1.836862e-02,1.392105e+01,7.771797e-01
1.843088e-02,1.283195e+01,2.244506e+00
1.849315e-02,1.533514e+01,2.092481e+00
1.855542e-02,1.551143e+01,6.774069e-01
1.861768e-02,1.123639e+01,2.614614e+00
1.867995e-02,9.687663e+00,1.165326e+00
1.874222e-02,1.889312e+01,2.017352e+00
1.880448e-02,3.036285e+01,9.740356e-01
1.886675e-02,7.580611e+00,1.335890e+00
1.892902e-02,2.343580e+01,2.308936e+00
1.899128e-02,1.786354e+01,3.473455e-01
1.905355e-02,1.918043e+01,4.409346e-01
1.911582e-02,2.328724e+01,2.289400e+00
1.917808e-02,1.715282e+01,2.177191e-01
1.924035e-02,6.824112e+00,-2.62E+00
1.930262e-02,3.251359e+01,-2.88E+00
1.936488e-02,2.225540e+01,6.505798e-01
1.942715e-02,9.947017e+00,1.271780e+00
1.948941e-02,7.427287e+00,2.932529e+00
1.955168e-02,1.015436e+01,3.021025e+00
1.961395e-02,2.565068e+01,1.958096e+00
1.967621e-02,2.762907e+01,9.772553e-01
1.973848e-02,6.028715e+00,1.346988e+00
1.980075e-02,8.620125e+00,2.765697e+00
1.986301e-02,1.489714e+01,1.499709e+00
1.992528e-02,7.589169e+00,2.776256e-02
1.998755e-02,1.944237e+01,-2.53E+00
2.004981e-02,6.053333e+00,2.511096e-01
2.011208e-02,1.828902e+01,4.687508e-01
2.017435e-02,1.296532e+01,2.511507e+00
2.023661e-02,4.095977e+00,1.296963e-01
2.029888e-02,3.103778e+01,9.816187e-01
2.036115e-02,8.169339e+00,8.070405e-01
2.042341e-02,1.115014e+01,1.777672e+00
2.048568e-02,7.178935e+00,8.333842e-01
2.054795e-02,1.397653e+01,1.893501e+00
2.061021e-02,6.949300e+00,2.453247e+00
2.067248e-02,1.406939e+01,2.052752e+00
2.073474e-02,3.290387e+00,2.558061e+00
2.079701e-02,1.050675e+01,2.087287e+00
2.085928e-02,1.834804e+01,-2.58E+00
2.092154e-02,2.737982e+01,2.078575e+00
2.098381e-02,1.114639e+01,2.452362e+00
2.104608e-02,2.474047e+01,7.215964e-01
2.110834e-02,1.399912e+01,1.933899e+00
2.117061e-02,2.496065e+01,9.428876e-01
2.123288e-02,9.310502e+00,1.060402e+00
2.129514e-02,1.816792e+01,2.105736e+00
2.135741e-02,5.500156e+00,7.799555e-01
2.141968e-02,1.381370e+01,2.591407e+00
2.148194e-02,2.700941e+01,8.594848e-01
2.154421e-02,1.571934e+01,3.970887e-01
2.160648e-02,1.080760e+01,-1.51E+00
2.166874e-02,1.800075e+01,2.004013e+00
2.173101e-02,1.834788e+01,6.380166e-01
2.179328e-02,1.082790e+01,-1.30E+00
2.185554e-02,1.197914e+01,-1.06E+00
2.191781e-02,1.655639e+01,1.545430e+00
2.198007e-02,8.053558e+00,1.117152e-01
2.204234e-02,1.223604e+01,1.038085e+00
2.210461e-02,2.610587e+01,1.773377e+00
2.216687e-02,1.759948e+00,1.112951e+00
2.222914e-02,1.435042e+01,1.521839e-01
2.229141e-02,2.243568e+01,7.649216e-01
2.235367e-02,2.532820e+01,1.691782e+00
2.241594e-02,9.858723e+00,-6.61E-01
2.247821e-02,1.252946e+01,-2.92E+00
2.254047e-02,1.620838e+01,1.093520e+00
2.260274e-02,1.626253e+00,-3.97E-01
2.266501e-02,1.157830e+01,2.931485e+00
2.272727e-02,2.465154e+01,1.351789e+00
2.278954e-02,2.107853e+01,3.119305e+00
2.285181e-02,9.767946e+00,-2.96E+00
2.291407e-02,2.274694e+01,1.244453e+00
2.297634e-02,4.331498e+00,6.012967e-02
2.303861e-02,1.613241e+01,1.449241e+00
2.310087e-02,9.328994e+00,-1.49E+00
2.316314e-02,3.482342e+00,-1.81E+00
2.322540e-02,1.916205e+01,2.714282e-01
2.328767e-02,7.873164e+00,2.193545e-01
